slug	nom	categorie	usage	fond	temperature	accent	bg	fg	classe_titre	police_titre	classe_corps	police_corps	titre_px	corps_px	rayon_px	section_y_px	conteneur_px	allure
cal	Cal.com	Productivity & SaaS	MARQUE	clair	froid	#0099ff	#ffffff	#242424	grotesque	Cal Sans	grotesque	Inter	48	16	12	96	1200	open-source scheduling infrastructure rendered as a grayscale photograph. Pure-white canvas, near-black charcoal text, one reserved link-blue, and
canva	Canva	Design & Creative	MARQUE	clair	violet	#7d2ae8	#ffffff	#0e1318	grotesque	Canva Sans	grotesque	Canva Sans	36	14	12	96	1320	Consumer-friendly design platform: white canvas, vivid purple→cyan gradient, generously rounded geometry, weight-driven hierarchy.
cisco	Cisco	Backend & Data	MARQUE	sombre	cyan	#049fd9	#0f1720	#ffffff	grotesque	CiscoSansTT	grotesque	CiscoSansTT	56	16	20	104	1240	navy-charcoal infrastructure surfaces with one electric Cisco Blue signal.
claude	Claude (Anthropic)	AI & LLM	MARQUE	clair	rouge	#c96442	#f5f4ed	#141413	serif	Anthropic Serif	grotesque	Anthropic Sans	52	16	12	96	1200	Literary salon aesthetic: warm parchment canvas, terracotta accent, exclusive warm-toned neutrals, Anthropic Serif for all headlines.
clay	Clay	Design & Creative	libre	clair	chaud	#b46a46	#f7eee6	#2b211c	grotesque	Inter	grotesque	Inter	54	16	22	96	1180	soft clay interface with molded surfaces, warm shadows, and approachable controls.
claymorphism	Claymorphism	Morphism & Effects	libre	clair	chaud	#b46a46	#f7eee6	#2b211c	grotesque	Inter	grotesque	Inter	54	16	22	96	1180	claymorphism visual language with rounded molded panels and soft relief.
clean	Clean	Modern & Minimal	libre	clair	neutre	#111111	#ffffff	#111111	grotesque	Inter	grotesque	Inter	54	16	8	96	1180	clean product system with white surfaces, subtle borders, and focused hierarchy.
clickhouse	ClickHouse	Backend & Data	MARQUE	sombre	or	#faff69	#000000	#ffffff	grotesque	Inter	grotesque	Inter	72	16	8	64	1280	High-performance cockpit in acid yellow-green on obsidian black pure black canvas, neon volt accents, extra-heavy Inter (900) display,
cloudflare-kumo	Cloudflare Kumo UI	Developer Tools	MARQUE	clair	froid	#056dff	#fbfbfb	#18181b	grotesque	Inter	grotesque	Inter	30	14	6	64	1200	Cloudflare Kumo UI — OpenDesign semantic bindings.
cohere	Cohere	AI & LLM	MARQUE	clair	froid	#1863dc	#ffffff	#000000	grotesque	CohereText	grotesque	Unica77 Cohere Web	60	16	22	60	1440	Enterprise command deck: confident, clean, 22px signature roundness. Key brand decisions encoded here:
coinbase	Coinbase	Fintech & Crypto	MARQUE	clair	froid	#0052ff	#ffffff	#0a0b0d	grotesque	CoinbaseDisplay	grotesque	CoinbaseText	52	16	16	96	1280	crypto exchange dressed in singular Coinbase Blue, near-black product surfaces, and the 56px pill CTAs that make the brand instantly
colorful	Colorful	Bold & Expressive	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	colorful product language with warm bright canvas and saturated action color.
composio	Composio	Backend & Data	MARQUE	sombre	froid	#6d5dfc	#090b14	#f8fafc	grotesque	Inter	grotesque	Inter	48	15	14	96	1180	dark agent-integration workspace with violet-blue signals and dense connector cards.
contemporary	Contemporary	Modern & Minimal	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	contemporary product system with polished neutrals, soft panels, and measured accent color.
corporate	Corporate	Professional & Corporate	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	corporate communication language with conservative blue, white panels, and trust-first hierarchy.
cosmic	Cosmic	Creative & Artistic	libre	sombre	violet	#c084fc	#070711	#f8f7ff	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	cosmic dark interface with star-field depth, luminous violet-blue accents, and spacious modules.
creative	Creative	Creative & Artistic	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	creative workspace language with warm bright panels, rounded controls, and energetic accent states.
cursor	Cursor	Developer Tools	MARQUE	clair	chaud	#f54e00	#f2f1ed	#26251e	grotesque	CursorGothic	serif	jjannon	36	16	10	80	1200	editor's marketing voice translated into the shared schema. Like `default/tokens.css` and `kami/tokens.css`, agents are expected to
dashboard	Dashboard	Professional & Corporate	libre	clair	cyan	#0ea5e9	#f4f7fb	#111827	grotesque	Inter	grotesque	Inter	42	15	12	84	1280	analytics dashboard with compact cards, cool surfaces, and status-first information design.
default	Neutral Modern	Starter	libre	clair	froid	#2f6feb	#fafafa	#111111	grotesque	Inter	grotesque	Inter	48	16	12	80	1200	starter design system. This file is the *machine-readable* form of the values described in `DESIGN.md`. Agents are expected to paste
discord	Discord	Productivity & SaaS	MARQUE	sombre	froid	#5865f2	#313338	#dbdee1	grotesque	gg sans	grotesque	gg sans	32	16	8	80	1200	dark-first surfaces, voice-and-chat for gaming and community.
dithered	Dithered	Retro & Nostalgic	libre	clair	rouge	#d24b1f	#fff4cf	#2a1810	mono	Courier New	grotesque	Inter	40	14	8	80	1280	dithered retro interface with hard edges, bitmap texture, and compact monochrome controls.
doodle	Doodle	Creative & Artistic	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	sans	Comic Sans MS	sans	Comic Sans MS	54	16	16	96	1180	doodle visual language with sketchbook warmth, soft cards, and informal orange accents.
dramatic	Dramatic	Bold & Expressive	libre	sombre	froid	#60a5fa	#090b12	#f8fafc	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	dramatic cinematic interface with dark surfaces, strong contrast, and spotlight accent states.
duolingo	Duolingo	Productivity & SaaS	MARQUE	clair	vert	#58cc02	#ffffff	#3c3c3c	grotesque	Feather Bold	grotesque	Mona Sans	40	15	16	80	1080	Bright owl-green gamified universe: chunky 4px bottom-shadows, big confident type, friendly pill geometry, mascot-driven warmth.
editorial	Editorial	Creative & Artistic	libre	clair	chaud	#9a5a2f	#fbf7f0	#1f1a16	serif	Georgia	serif	Source Serif Pro	66	18	8	112	1120	editorial publishing language with warm paper surfaces, serif display type, and composed story cards.
elegant	Elegant	Professional & Corporate	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	elegant interface language with warm neutrals, serif display type, and quiet premium controls.
elevenlabs	ElevenLabs	AI & LLM	MARQUE	clair	neutre	#000000	#ffffff	#000000	grotesque	Waldenburg	grotesque	Inter	36	16	16	96	1200	Premium audio product brochure: achromatic, whisper-thin headings, multi-layered sub-0.1 shadows, warm stone accent surfaces.
energetic	Energetic	Bold & Expressive	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	energetic product system with saturated action, tight motion, and lively card structure.
enterprise	Enterprise	Professional & Corporate	libre	clair	froid	#1d4ed8	#f8fafc	#0f172a	grotesque	Inter	grotesque	Inter	48	16	10	96	1240	enterprise governance surface with deep navy text, restrained blue, and durable admin patterns.
expo	Expo	Developer Tools	MARQUE	clair	froid	#000020	#ffffff	#0b0d12	grotesque	Inter	grotesque	Inter	48	16	14	96	1160	developer-console minimalism with black-and-white precision and native app launch energy.
expressive	Expressive	Bold & Expressive	libre	clair	violet	#7c3aed	#fbf8ff	#1f1730	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	expressive design language with vibrant accents, roomy sections, and characterful cards.
fantasy	Fantasy	Creative & Artistic	libre	sombre	violet	#c084fc	#070711	#f8f7ff	serif	Georgia	grotesque	Inter	54	16	16	96	1180	fantasy interface with deep mystical surfaces, luminous accents, and ornate card rhythm.
ferrari	Ferrari	Automotive	MARQUE	sombre	rouge	#dc0000	#0b0b0b	#fffaf0	grotesque	Ferrari Sans	grotesque	Ferrari Sans	62	16	8	112	1240	Italian performance luxury with racing red, carbon black, and premium editorial spacing.
figma	Figma	Design & Creative	MARQUE	clair	neutre	#000000	#ffffff	#000000	grotesque	figmaSans	grotesque	figmaSans	64	16	8	96	1920	content inside a strictly black-and-white interface shell.
flat	Flat	Modern & Minimal	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	flat interface system with crisp colors, no depth effects, and direct component hierarchy.
framer	Framer	Design & Creative	MARQUE	sombre	froid	#0099ff	#000000	#ffffff	grotesque	GT Walsheim Framer Medium	grotesque	Inter Variable	62	15	12	120	1200	Pure black void canvas, Framer Blue accent, GT Walsheim display with extreme negative letter-spacing, Inter body with OpenType features,
friendly	Friendly	Creative & Artistic	libre	clair	chaud	#ff6b00	#fff8d7	#1d1836	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	friendly product surface with warm colors, rounded controls, and low-pressure hierarchy.
futuristic	Futuristic	Themed & Unique	libre	sombre	froid	#60a5fa	#090b12	#f8fafc	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	futuristic interface with dark panels, cyan accent, compact data, and advanced product cues.
github	GitHub	Developer Tools	MARQUE	clair	froid	#0969da	#ffffff	#1f2328	grotesque	-apple-system	grotesque	-apple-system	28	14	6	64	1280	functional density, blue-on-white precision.
glassmorphism	Glassmorphism	Morphism & Effects	libre	clair	froid	#4f8cff	#eef6ff	#102033	grotesque	Inter	grotesque	Inter	54	16	24	104	1180	glass interface language with translucent panels, airy borders, and luminous cyan-violet action.
gradient	Gradient	Morphism & Effects	libre	clair	violet	#7c3aed	#f7f3ff	#191225	grotesque	Inter	grotesque	Inter	62	16	20	104	1180	gradient-first visual system with saturated color fields, dark text contrast, and radiant CTA states.
hashicorp	HashiCorp	Backend & Data	MARQUE	sombre	froid	#1060ff	#15181e	#efeff1	grotesque	HashiCorp Sans	grotesque	system-ui	52	16	8	80	1150	enterprise infrastructure-as-code made tangible: a dramatic near-black canvas, engineering-grade typography, whisper-level shadows, and one
hud	HUD Design System	Themed & Unique	libre	sombre	froid	#60a5fa	#090b12	#f8fafc	mono	IBM Plex Mono	mono	IBM Plex Mono	40	14	16	80	1280	HUD interface language with dark transparent panels, cyan telemetry, and compact status readouts.
huggingface	Hugging Face	AI & LLM	MARQUE	clair	or	#ffd21e	#fafafa	#0d1117	mono	IBM Plex Mono	grotesque	Source Sans Pro	40	15	6	80	1280	ML community hub: sunshine yellow badge accent, monospace identity, crisp 1px borders, brutalist-adjacent low radius, dense power-user layout.
ibm	IBM	Media & Consumer	MARQUE	clair	froid	#0f62fe	#ffffff	#161616	grotesque	IBM Plex Sans	grotesque	IBM Plex Sans	42	16	0	96	1312	white Carbon surfaces, square geometry, IBM Plex typography, and a single engineered blue signal.
intercom	Intercom	Productivity & SaaS	MARQUE	clair	chaud	#ff5600	#faf9f6	#111111	grotesque	Saans	grotesque	Saans	54	16	6	96	1280	Editorial customer-service warmth: warm cream canvas, off-black text, a single Fin Orange signal, and aggressively sharp 4px geometry.
kami	kami (紙 / 纸)	Editorial & Print	libre	clair	froid	#1b365d	#f5f4ed	#141413	serif	Charter	serif	Charter	48	14	8	72	1120	editorial system: warm parchment canvas, single ink-blue accent, serif at one weight (500), no italic, no cool grays.
kraken	Kraken	Fintech & Crypto	MARQUE	sombre	froid	#7132f5	#0b1020	#f8fafc	grotesque	Inter	grotesque	Inter	44	15	12	88	1280	dark crypto exchange interface with violet signal, chart density, and confident controls.
lamborghini	Lamborghini	Automotive	MARQUE	sombre	chaud	#d4af37	#050505	#f8f4e6	grotesque	Lamborghini	grotesque	Inter	64	16	6	112	1240	sharp black-gold performance interface with angular premium energy.
levels	Levels	Layout & Structure	MARQUE	clair	vert	#2f8f46	#fbf7ef	#1f2a24	grotesque	Inter	grotesque	Inter	48	16	18	96	1160	health data product with calm cream surfaces, green metabolic signal, and nutrition card rhythm.
linear-app	Linear	Productivity & SaaS	MARQUE	sombre	froid	#5e6ad2	#08090a	#f7f8f8	grotesque	Inter Variable	grotesque	Inter Variable	48	16	8	80	1200	project management tool's precision engineering voice.
lingo	Lingo	Creative & Artistic	MARQUE	clair	froid	#6d4aff	#fbf9ff	#1d1b2a	grotesque	Inter	grotesque	Inter	50	16	16	96	1160	global localization product language, soft violet action, warm white surfaces, and readable content rows.
loom	Loom Design System	Themed & Unique	MARQUE	clair	froid	#625df5	#ffffff	#1f1f23	grotesque	Inter	grotesque	Inter	28	14	6	72	1200	Async video for work: bright neutral canvas, signature purple (#625df5), soft-rounded geometry, Inter typography, video-thumbnail-centric layouts.
lovable	Lovable	Developer Tools	MARQUE	clair	rose	#ff4d8d	#f7f4ed	#1c1c1c	grotesque	Camera Plain Variable	grotesque	Camera Plain Variable	48	16	12	128	1200	Warm parchment canvas, opacity-driven gray ramp, humanist Camera Plain Variable display type, borders-not-shadows for cards, inset-shadow
luxury	Luxury	Professional & Corporate	libre	sombre	chaud	#c6a15b	#080706	#fff8ea	serif	Didot	geometrique	Avenir Next	68	16	14	120	1160	luxury commerce with black lacquer, champagne gold, and spacious premium rhythm.
mastercard	Mastercard	Fintech & Crypto	MARQUE	clair	chaud	#cf4500	#f3f0ee	#141413	geometrique	MarkForMC	geometrique	MarkForMC	48	16	40	104	1180	putty-cream editorial canvas, orbital geometry, and warm payment-network restraint.
material	Material	Professional & Corporate	MARQUE	clair	froid	#1a73e8	#f8fafd	#202124	grotesque	Google Sans	grotesque	Roboto	48	16	12	96	1200	material design surface logic with soft elevation, rounded controls, and accessible blue interaction.
meta	Meta (Store)	E-Commerce & Retail	MARQUE	clair	froid	#0064e0	#ffffff	#1c2b33	geometrique	Optimistic VF	geometrique	Optimistic VF	48	16	20	80	1440	Photography-first retail: pure white canvas, Optimistic VF typography, Meta Blue (#0064E0) reserved for action, generous gallery whitespace,
minimal	Minimal	Modern & Minimal	libre	clair	neutre	#111111	#ffffff	#111111	grotesque	Inter	grotesque	Inter	48	16	4	112	1120	minimal product language with white space, black text, hairline borders, and quiet interaction.
minimax	MiniMax	AI & LLM	MARQUE	clair	froid	#1456f0	#ffffff	#222222	geometrique	Outfit	grotesque	DM Sans	48	16	13	80	1200	AI lab behind Hailuo (海螺) video and Conch text. The visual language is a white-dominant product gallery: pure white canvas, vivid product
mintlify	Mintlify	Productivity & SaaS	MARQUE	clair	vert	#18e299	#ffffff	#0d0d0d	grotesque	Inter	grotesque	Inter	40	16	16	96	1200	Documentation-as-product clarity: white-on-white canvas, near-black text, signature mint-green accent used sparingly, ultra-subtle 5%-
miro	Miro	Design & Creative	MARQUE	clair	chaud	#ffd02f	#fff7c2	#050038	grotesque	Formular	grotesque	Formular	56	16	18	104	1220	whiteboard canvas with sunny yellow, ink-black controls, and collaborative board energy.
mission-control	Mission Control Design System	Developer Tools	libre	sombre	froid	#60a5fa	#090b12	#f8fafc	grotesque	Inter	grotesque	Inter	40	14	16	80	1280	mission control interface with dark command panels, status color, and dense operational modules.
mistral-ai	Mistral AI	AI & LLM	MARQUE	clair	chaud	#fa520f	#fffaeb	#1f1f1f	grotesque	Arial	grotesque	Arial	56	16	2	80	1280	Sun-drenched French engineering: golden amber universe, billboard typography, sharp architectural geometry, warm golden shadows.
modern	Modern	Modern & Minimal	libre	clair	froid	#4f46e5	#f7f8fc	#111827	grotesque	Inter	grotesque	Inter	54	16	16	104	1180	modern SaaS system with cool neutrals, blue-violet accent, and polished product cards.
mongodb	MongoDB	Backend & Data	MARQUE	sombre	vert	#00ed64	#001e2b	#ffffff	serif	MongoDB Value Serif	geometrique	Euclid Circular A	64	16	8	96	1200	Forest-dark database aesthetic: a near-black teal canvas (#001e2b) lit by a single bioluminescent neon green (#00ed64), serif authority at
mono	Mono	Modern & Minimal	libre	clair	neutre	#111111	#ffffff	#111111	mono	IBM Plex Mono	mono	IBM Plex Mono	40	14	8	80	1280	monochrome interface with black ink, white surfaces, and severe component discipline.
neobrutalism	Neobrutalism	Bold & Expressive	libre	clair	rouge	#d24b1f	#fff4cf	#2a1810	grotesque	Arial Black	grotesque	Inter	54	16	8	96	1180	neo-brutalist design language with hard borders, offset shadows, and loud yellow emphasis.
neon	Neon	Morphism & Effects	libre	sombre	violet	#c084fc	#070711	#f8f7ff	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	neon visual language with dark backgrounds, glowing accents, and high-energy controls.
neumorphism	Neumorphism	Morphism & Effects	libre	clair	chaud	#b46a46	#f7eee6	#2b211c	grotesque	Inter	grotesque	Inter	54	16	22	96	1180	neumorphic interface with tonal surfaces, soft raised controls, and quiet embossed depth.
nike	Nike	E-Commerce & Retail	MARQUE	clair	neutre	#111111	#ffffff	#111111	geometrique	Nike Futura ND	grotesque	Helvetica Now Text Medium	48	16	20	80	1440	the kinetic retail cathedral. A monochromatic UI (black/white/grey only) so that athletic photography and product color carry the
notion	Notion	Productivity & SaaS	MARQUE	clair	froid	#0075de	#ffffff	#000000	grotesque	NotionInter	grotesque	NotionInter	48	16	8	80	1200	workspace's warm minimalism translated into the shared schema.
nvidia	NVIDIA	Media & Consumer	MARQUE	sombre	vert	#76b900	#000000	#ffffff	grotesque	NVIDIA-EMEA	grotesque	NVIDIA-EMEA	32	16	2	64	1200	GPU computing power aesthetic: black canvas, NVIDIA Green (#76b900) as pure signal accent, industrial NVIDIA-EMEA font, minimal 2px radius.
ollama	Ollama	AI & LLM	MARQUE	clair	neutre	#000000	#ffffff	#000000	grotesque	SF Pro Rounded	grotesque	ui-sans-serif	36	16	12	112	1280	local-LLM runtime. The brand strips every form of decoration away until only the essential tool remains: pure-white canvas, zero
openai	OpenAI	AI & LLM	MARQUE	clair	cyan	#10a37f	#ffffff	#0d0d0d	serif	Signifier	grotesque	Söhne	40	16	16	96	1200	system anchored in deep teal-black with editorial serif display.
opencode-ai	OpenCode	AI & LLM	MARQUE	sombre	froid	#007aff	#201d1d	#fdfcfc	mono	Berkeley Mono	mono	Berkeley Mono	38	16	6	80	880	Terminal-native dark theme: warm near-black canvas, Berkeley Mono as the sole typeface, flat depth (no shadows), Apple HIG semantic colors.
pacman	Pacman	Themed & Unique	MARQUE	sombre	or	#ffcc00	#050505	#fff7d6	grotesque	Press Start 2P	grotesque	Inter	44	14	18	84	1080	classic arcade maze language with black board, yellow signal, and rounded score capsules.
paper	Paper	Retro & Nostalgic	libre	clair	chaud	#8f5d24	#faf3df	#211b12	serif	Georgia	grotesque	Inter	64	17	16	112	1180	paper design language with warm document surfaces, soft texture, and readable hierarchy.
perplexity	Perplexity AI	AI & LLM	MARQUE	sombre	violet	#a855f7	#0f0f10	#f0f0f0	grotesque	Inter	grotesque	Inter	28	15	8	64	1100	terminal voice of a conversational AI search engine.
perspective	Perspective	Layout & Structure	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	perspective visual system with layered depth, cool surfaces, and dimensional product cards.
pinterest	Pinterest	Media & Consumer	MARQUE	clair	rouge	#e60023	#ffffff	#211922	grotesque	Pin Sans	grotesque	Pin Sans	44	16	16	80	1280	Warm visual-discovery canvas: olive/sand neutrals, signature Pinterest Red (#e60023) as the singular bold accent, Pin Sans across the entire
playstation	PlayStation	Media & Consumer	MARQUE	sombre	froid	#0070cc	#000000	#ffffff	grotesque	SST	grotesque	SST	44	18	12	96	1600	Console-grade retail: a three-surface channel (black hero → white content → cobalt footer), SST weight 300 at display sizes, and a signature
posthog	PostHog	Backend & Data	MARQUE	clair	chaud	#f54e00	#fdfdf8	#4d4f46	geometrique	IBM Plex Sans Variable	geometrique	IBM Plex Sans Variable	36	16	6	48	1280	open-source product analytics brand whose marketing surface reads like a startup's internal wiki that escaped into the wild. Warm
premium	Premium	Professional & Corporate	libre	clair	chaud	#a06a3b	#faf8f4	#1c1b19	serif	Canela	grotesque	Inter	60	16	16	112	1160	premium marketing system with warm white canvas, graphite type, and muted bronze signal.
professional	Professional	Professional & Corporate	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	professional services interface with restrained blue, crisp cards, and business-first structure.
publication	Publication	Creative & Artistic	libre	clair	rouge	#c1121f	#ffffff	#0b0b0b	grotesque	Franklin Gothic	serif	Georgia	64	17	0	88	1180	news publication system with white pages, black editorial type, and crisp red section signals.
raycast	Raycast	Developer Tools	MARQUE	sombre	rouge	#ff6363	#07080a	#f9f9f9	grotesque	Inter	grotesque	Inter	40	16	12	96	1200	command palette / launcher's precision desktop-instrument voice.
refined	Refined	Modern & Minimal	libre	clair	chaud	#9b5b32	#fbf6ee	#201914	serif	Georgia	grotesque	Inter	64	17	16	112	1180	refined interface language with warm neutrals, restrained accent, and composed spacing.
renault	Renault	Automotive	MARQUE	clair	chaud	#ffcc33	#f7f4ef	#111111	grotesque	Renault Group	grotesque	Renault Group	58	16	8	104	1220	electric automotive showroom, warm yellow accents, black engineering text, and modern gallery surfaces.
replicate	Replicate	AI & LLM	MARQUE	clair	rouge	#ea2804	#ffffff	#202020	grotesque	rb-freigeist-neue	grotesque	basier-square	72	16	9999	96	1200	Developer playground: explosive gradient energy, pill-shaped geometry, massive display typography, high-contrast black/white + red brand.
resend	Resend	Productivity & SaaS	MARQUE	sombre	chaud	#ff801f	#000000	#f0f0f0	grotesque	ABC Favorit	grotesque	Inter	56	16	8	120	1200	API whose marketing surface treats a pure-black canvas like a gallery wall and lights every container with a single, icy blue-
retro	Retro	Retro & Nostalgic	libre	clair	rouge	#d24b1f	#fff4cf	#2a1810	mono	Courier New	grotesque	Inter	54	16	8	96	1180	retro interface with warm colors, chunky controls, and nostalgic product cards.
revolut	Revolut	Fintech & Crypto	MARQUE	clair	froid	#0666eb	#f7f8fb	#111827	grotesque	Inter	grotesque	Inter	54	16	20	104	1180	premium consumer-finance surfaces with bright blue action and polished dashboard cards.
runwayml	Runway	AI & LLM	MARQUE	sombre	neutre	#ffffff	#000000	#ffffff	grotesque	abcNormal	grotesque	abcNormal	40	16	8	78	1600	editorial-cinema dark canvas where photography (and AI-generated video) is the design and the chrome is intentionally invisible.
sanity	Sanity	Backend & Data	MARQUE	clair	rouge	#f03e2f	#f8f8f7	#171717	grotesque	Inter	grotesque	Inter	46	16	10	96	1180	clean content studio with near-white surfaces, red intent, and schema-first hierarchy.
sentry	Sentry	Backend & Data	MARQUE	sombre	froid	#6a5fc1	#1f1633	#ffffff	grotesque	Dammit Sans	grotesque	Rubik	60	16	8	80	1152	Dark-mode-first developer tool aesthetic: deep purple-black canvas (#1f1633, #150f23) lit by warm purples (#6a5fc1, #79628c, #422082)
shadcn	Shadcn	Modern & Minimal	MARQUE	clair	neutre	#000000	#ffffff	#111827	grotesque	Geist	grotesque	Geist	40	16	8	96	1280	React component library whose "brand" is the calm, neutral baseline that thousands of teams extend. shadcn is intentionally NOT a loud
shopify	Shopify	E-Commerce & Retail	MARQUE	sombre	vert	#36f4a4	#000000	#ffffff	grotesque	NeueHaasGrotesk	grotesque	Inter Variable	70	18	8	96	1280	ethereal ultra-light display type, neon green accent.
simple	Simple	Modern & Minimal	libre	clair	froid	#2563eb	#f5f8ff	#101828	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	simple application system with neutral surfaces, clear action color, and dependable layout primitives.
skeumorphism	Skeumorphism	Morphism & Effects	libre	clair	chaud	#b46a46	#f7eee6	#2b211c	serif	Georgia	grotesque	Inter	54	16	22	96	1180	skeuomorphic interface with tactile surfaces, beveled cards, and warm analog depth.
slack	Slack	Productivity & SaaS	MARQUE	clair	violet	#4a154b	#ffffff	#1d1c1d	grotesque	Larsseit	grotesque	system-ui	36	15	8	80	1200	light content surfaces, warm and human workplace communication.
sleek	Sleek	Modern & Minimal	libre	sombre	froid	#60a5fa	#090b12	#f8fafc	grotesque	Inter	grotesque	Inter	54	16	16	96	1180	sleek product language with polished panels, sharp typography, and confident blue accent.
