date	nom	lang	pal	typo	heros	etiq	sign	rayon	mvt
2026-08-05	Paysagiste Beaudoin (Gatineau, aménagement paysager)	français, bascule EN. Site francophone, Outaouais, version EN	bronze #926821 échantillonné dans Logo-Paysagiste-Daniel-Beaudoin-2.png	Epilogue 700 + Hanken Grotesk, dixième appairage. Newsreader italique 300	photo pleine largeur en parallaxe (0,26) avec un voile calcaire en diagonale et	cellule rectangulaire bordée sur quatre côtés, comme un	l'appareillage en panneresse, le décalage des joints du pavé-uni, qui est	- La calculatrice de financement est le morceau neuf. Montant, durée, et un champ de taux	
2026-08-06	Chi Medical Aesthetics, Ottawa, esthétique médicale		teal #007F7E échantillonné sur le lockup, #A8E8E8 pris dans le						révélation clip-path et curseur en anneau. Les pastilles qui dérivent
2026-08-06	Inovo Medical (Ottawa, médecine régénératrice)	anglais, bascule FR. Site anglophone, Ottawa. La bascule est justifiée	premier build en pétrole. Pétrole #123F42, pétrole profond #0C2E31	Space Grotesk 500/700 + Karla, onzième appairage. Space Grotesk lit technique	bande de trois colonnes cliniques pleine largeur. Titre et sous-titre en haut sur	barre oblique orange plus capitales espacées. Traitement neuf	les cercles concentriques de visée, dessinés à la main en SVG, six anneaux	cercle scrubé est posé en ligne par le JS, donc la règle du grep tient toujours	révélation clip-path
2026-08-07	Enterprise Spa (Gatineau, réparation de spas et baignoires à remous)	français, bascule EN. Site francophone d'origine avec un /en	rose #E8408F échantillonné dans Logo-removebg-preview.png (les deux	Familjen Grotesk 500/600/700 + Inter Tight, douzième appairage. Lettres	titre typographique sur papier plus bande de quatre cellules carrées bord à	capitales roses, puis un carré plein de 7px, puis un filet qui	la trace de circuit. Un filet rose qui court, s'arrête sur un petit carré	scrub est posé en ligne par le JS, précédent Inovo	rayon scrubé (200px vers 0 et échelle 0,86 vers 1
2026-08-07	Enterprise Spa, v2, bleu et photo de couverture		actuel". Marine #12354F et #0D2739 pour les blocs foncés, bleu d'accent #1B6FA8 sur		marine en dégradé à 96 degrés. La bande de quatre cellules carrées de la v1 disparaît				
2026-08-09	Sarah Spa Esthétique (Gatineau, studio d'esthétique)	français, bascule EN. Site français seul, Gatineau, propriétaire	teal #35BFAE échantillonné dans Logo_couleur.png (59 560 pixels), gardé	Gabarito 600/700 + Karla, treizième appairage. Petrona italique 300 sur le	vidéo pleine largeur. Forme neuve pour le skill. Sa vraie vidéo de 60 s recadrée	rangée de flacons puis capitales espacées. Traitement neuf	la rangée de flacons. Cinq traits verticaux de hauteurs 6/13/9/16/7 posés sur	avis a été repassé de 50% à carré pour ne pas laisser d'exception	titre assemblé
2026-08-10	Bauduy Roofing (Ottawa-Gatineau, couvreur)	anglais, bascule FR. Leur site est anglais par défaut avec un lien	orange #D9601F échantillonné dans leur vrai logo img_0838.jpeg, foncé	Archivo 800 + Public Sans, quatorzième appairage. h1 50px, h2 34px, corps 16px	photo pleine largeur avec le zoom Autarq. inspect_motion.py a rendu leur recette	marqueur bardeaux puis capitales espacées, titre à gauche et intro	la rangée de bardeaux. Trois traits de hauteurs 7/12/9 en marqueur d'étiquette	- Signature: la rangée de bardeaux. Trois traits de hauteurs 7/12/9 en marqueur d'étiquett	zoom héros temporisé plus scrubé, révélation clip-path sur les
2026-08-10	Inskinity Aesthetic Clinic (Ottawa, esthétique médicale)	anglais, bascule FR. Site anglophone, Ottawa	leur vraie couleur de marque, blush #F7C6B8 (accent_color de leur thème	Bodoni Moda + Work Sans, douzième appairage. Un Didone à fort contraste, jamais	deux colonnes, mot-symbole vidéo-masqué à gauche puis leur vraie citation	simples capitales espacées rose foncé, sans ornement. Traitement	le médaillon ovale, repris de Dębski Clinic (Varsovie, Awwwards Honorable		
2026-08-11	Clinique Infinium (Gatineau, médecine esthétique)	français, bascule EN. Site francophone, Gatineau	cyan clair	Plus Jakarta Sans 500 à 800 plus Work Sans, treizième appairage. Fichiers	typographique, forcé par les assets (aucune photo n'était utilisable). Titre à		le symbole infini de leur propre logo, dessiné à la main en SVG	intrinsèquement circulaires (poignée du curseur, disque de l'équipe, point de pulsation)	
2026-08-11	TOP Construction Design (Gatineau, secteur Hull, rénovation résidentielle)	français, bascule EN. 96 clés i18n	encre chaude #181510, or #A57F41 et #C39B5C échantillonnés dans leur	Archivo variable + Instrument Serif italique, intégrées en base64, aucun	photo plein écran, 100svh, logo blanc détouré fondu dans l'image, header		trois mots fantômes (SERVICES, RÉALISATIONS, ÉQUIPE) en contour de	- Héros: photo plein écran, 100svh, logo blanc détouré fondu dans l'image, header	
2026-08-12	Alluxclean inc. (Gatineau, secteur Hull, nettoyage et entretien)	français, bascule EN. Deux avis sur trois en français, réponses du	aucun logo à échantillonner, donc c'est un choix assumé et signalé comme le	Space Grotesk 300-700 + Inter 100-900, quinzième appairage, les deux en fichiers		aucune. Choisi dans la liste «pas encore utilisé» de ce	le coup de raclette. Arête franche, jamais un fondu. Trois emplois	- Signature: le coup de raclette. Arête franche, jamais un fondu. Trois emplois	
2026-08-12	DMcosmetique Style (Gatineau, boulevard Gréber, boutique de vêtements)	français, bascule EN. Shopify français seulement, Gatineau	Méthode: bitmap réduit en 120x160, pixels de saturation inférieure à 28 rejetés, quantifié	Jost 100-900 + Instrument Sans 100-900, dix-septième appairage, les deux en	vitrine à trois panneaux, forme neuve. minmax(0,1.5fr) minmax(0,1fr)	pivotées à 90 degrés dans la marge gauche, prises dans la liste	la vitrine, trois panneaux verticaux. Employée deux fois: le héros	parce que rien ne le demande	révélation clip-path sur les trois photos de produits
2026-08-12	DMcosmetique Style, v2, refonte complète de la direction artistique		#F7F5F1, --paper-2:#EFEBE4	Instrument Serif 400 plus son italique, plus Instrument Sans. Jost supprimé	demandait un header en texte ivoire au chargement, ce qui suppose un fond sombre, alors qu				Reveal opacité plus 28px, stagger porté de 70 à 90ms, une seule fois
2026-08-12	Salon Amina beauté (Gatineau, boulevard Saint-Joseph, salon de coiffure)	français, bascule EN. Trois avis sur trois en français, noms de	aucun logo à échantillonner, donc choix assumé et signalé comme le seul point à	Epilogue 400-800 + Hanken Grotesk 300-700, seizième appairage, les deux en fichiers	split diagonal, forme prise dans la liste «pas encore utilisé» de ce fichier. Champ	le filet tressé traversant, cassé par les mots. Le ::before porte	la tresse. Deux brins qui s'entrelacent, dessinés à la main en SVG et servis en	précédent Infinium	curseur personnalisé (anneau cuivre à lerp .16
2026-08-12	Elite Beauty Lab (Ottawa, marché By, medi spa dirigé par une chirurgienne)	anglais, bascule FR	monde vitrine nocturne. Encre #16182B dominante, surfaces #1E2138, champ clair #F1EEE9 sur 2 sections, accent unique corail #FF7A5C (#C63F26 sur clair). Logo blanc, aucune couleur de marque à échantillonner, palette assumée	Schibsted Grotesk 400-800 + Newsreader italique sous-ensemblée au seul mot accent, 18e appairage, neuf	plein écran typographique avec médaillon circulaire à droite, forme prise dans le banc libre. Aucune source paysage 1600px donc héros pleine largeur écarté	compteur 01 / 06 aligné à droite dans un anneau ouvert, traitement neuf pris dans le banc libre	l anneau ouvert du monogramme EBL. Trois emplois: cerclage du médaillon du héros qui se trace au défilement, glyphe des compteurs de section, séparateur du pied de page	2px, une seule déclaration plus 50% sur le médaillon	clip-path sur les portraits, titre assemblé caractère par caractère, et l anneau scrubé au défilement comme troisième effet neuf sur sa demande de sortir du catalogue
2026-08-12	Elite Beauty Lab, v2, refonte claire au brief image (Web Whiz Botox)	anglais, bascule FR	leur VRAIE palette de marque, trouvee dans le kit Elementor et pas dans le HTML: accent #D7B1A4, #FAE3D9, #EDD1C3, #D9A3A3. Crème #FDF9F5 en dominante, argile #9E5F4C comme accent interactif parce que le #D7B1A4 ne passe pas 4,5:1	Petrona 300-600 + Public Sans 400-700 + MonteCarlo sous-ensemblee au seul mot script, 19e appairage	typo a gauche, photo debordant au bord droit sans marge negative (padding-left calc 50% - 592px, qui exclut la barre de defilement la ou 100vw l inclut), bloc de credentiel en bas	en exposant collee au titre, traitement neuf du banc libre	l anneau ouvert du monogramme EBL, repris de la v1: glyphe du bloc credentiel, marqueur des trois cartes de soins, grand anneau du champ de heros, et il se trace au defilement	0 partout, un seul 50% sur les anneaux	clip-path sur les portraits, titre assemble, anneau scrube
2026-08-12	Elite Beauty Lab, v2 passe heros, remplace la colonne photo par un fond pleine largeur	anglais, bascule FR	inchangee	inchangee	PHOTO DE FOND PLEINE LARGEUR, titre en surimpression a gauche. Remplace le heros deux colonnes de la ligne precedente, qui n existe plus. Voile creme qui eclaircit au lieu d assombrir, parce que la moitie gauche de la photo est deja creme. Plafond .55 respecte	inchangee	inchangee, anneau EBL en bas a droite du fond	inchange	inchange
2026-08-13	Elite Beauty Lab, v2 passe photos generees	anglais, bascule FR	inchangee	inchangee	inchange	inchangee	inchangee	inchange	clip-path etendu a la bande de deux et au lounge. TROIS IMAGES GEMINI de la meme famille que le heros: lounge en 4:5 qui supprime le dernier emplacement reserve, plus une bande de deux images 3:2 pleine largeur entre les soins et l equipe. Equipe passee de 3 a 5 portraits reels en cinq colonnes. Defaut corrige present aussi en v1: figure garde 40px de marge navigateur de chaque cote, les vignettes tombaient a 142px dans des colonnes de 222
2026-08-13	StonerInkkk Tattoo Shop (Ottawa, marche By, salon de tatouage)	anglais, bascule FR. 51 cles i18n. Site source MORT: page Duda "Site not found", 927 octets, www en 404, une seule capture Wayback en 403. Zero contenu recupere, tout vient de la fiche Google et de six images WhatsApp	violet #601870 echantillonne dans leur logo (43 913 pixels sur un bitmap 512, pixels de saturation sous 30 rejetes), ombre #300840 reprise en pied de page. Papier #E9E4DB, encre chaude #1B1419. Aucun noir	Anybody variable (axe de largeur 75-100%) + Barlow 400/500, vingtieme appairage, les trois en base64. Anybody jamais servie, choisie pour le condense de la serigraphie	scindé horizontalement, haut typographique sur papier, bas bande pleine largeur de trois photos. Forme prise dans le banc libre. Bande plafonnee a 2240px pour que chaque cellule reste sous les 760px de la source, la seule facon d avoir une bande pleine largeur sans source paysage 1600px	capitales en negatif dans un carre plein d encre, accole a une cellule bordee. Traitement neuf du banc libre	le groupement d aiguilles: trois pointes effilees qui convergent vers un point, plus un plot d encre, dessine a la main en SVG et servi en data URI. Trois emplois exactement, fond du heros a .13, filet entre le salon et les avis, separateur du pied de page	0 partout, la serigraphie n arrondit rien. Aucune ombre sur toute la page	revelation clip-path sur les cinq photos, curseur machine a tatouer (pointe SVG en lerp .19 qui depose un plot d encre qui s efface au survol des photos, desktop seulement, cursor:none pose SEULEMENT apres que le JS ait prouve qu il tourne), et trame de points qui se decale au defilement en sens inverse sur les champs encre et violet. Effet neuf, ne du monde serigraphie
2026-08-13	StonerInkkk Tattoo Shop, v2 au choix de la planche, bande 1 serigraphie	anglais, bascule FR. 49 cles i18n	inchangee	inchangee	REMPLACE le heros scinde de la ligne precedente, qui n existe plus. Photo du salon en bloc centre plafonne a 1100px, sa largeur source exacte, sur le champ d encre plein, titre en surimpression au centre. Les deux bords du bloc se dissolvent dans l encre par un masque en degrade, actif seulement au-dessus de 1101px. Un plein cadre affichait la source a 1,30x a 1440 et 1,73x a 1920	inchangee, capitales en negatif dans un carre plein accole a une cellule bordee	inchangee, le groupement d aiguilles en trois emplois	inchange, 0 partout	inchange: clip-path sur les quatre photos, curseur machine a tatouer, trame de points decalee au defilement. Ajout d une bascule clair/sombre a jetons, la trame et le glyphe d aiguille basculent avec
2026-08-13	La Crystal Nails and Spa (Ottawa marche By, Cumberland, Gatineau et Orleans, salon d'ongles). 70 cles i18n. Site source Wix anglophone, quatre succursales, quatre numeros de telephone dont aucun n'est rattache a une adresse dans leur HTML	anglais, bascule FR. Site Wix anglais, marche d'Ottawa, une succursale a Gatineau qui justifie la bascule	aucun fichier de logo a echantillonner: la marque est PHYSIQUE, une enseigne au neon et des vestes brodees. Rose neon #EC2C86 echantillonne sur le script des vestes, #A81558 pour le meme rose en petit texte sur fond clair (4,5:1), vert de haie #2E4A1C pris sur leur vrai mur vegetal, blush #F6DCD2 pris sur le plafond de fleurs, encre #16101A, prune #2A1230 en pied de page. Aucun noir	Rethink Sans 400/500/700 + Newsreader italique 300, vingt-et-unieme appairage, les quatre en base64. Newsreader ne sert QUE sur la ligne accent du h1	panneau parallaxe sans video, forme prise dans le banc libre. Leur photo d'enseigne au neon en plein cadre (1920 de source, affichee a 1905 au maximum), titre en bas a gauche, texte minuscule en capitales espacees. Le monde 13 photo pleine texte minuscule a gagne l'algorithme par 5 points contre 3	posee dans la marge gauche, sur la ligne de base du titre, precedee du glyphe de cristal. Traitement neuf du banc libre	le cristal facette, pris dans LEUR PROPRE logo de veste. Dessine a la main en SVG. Quatre emplois: pastille de marque, fond du heros a .10, glyphe des etiquettes de section, separateur du pied de page	3px sur les boutons et les champs, 4px sur les panneaux, 6px sur les cellules. Aucune pilule	neon qui s'allume (effet NEUF, ne de leur vraie enseigne: keyframes steps() qui simule l'amorcage d'un tube, plus la photo qui remonte de brightness .62 a .86), curseur cristal (lerp .18, pointe a l'origine puis rotate(-38), le vrai pointeur n'est JAMAIS masque), marquee de la galerie clonee au chargement par JS et non dans le HTML, ce qui a fait tomber le fichier de 2,79 a 1,92 Mo
2026-08-13	Spa Energie-Forme (Gatineau, boul. Maloney Est, spa de massotherapie et esthetique). 62 cles i18n. Site source Wix francophone, multilingue active cote Wix mais aucune version anglaise servie	francais, bascule EN. Site francais seul, Gatineau, marche francophone	orchidee #A04090 echantillonnee dans leur vrai logo (cote VIOLET du degrade, pas cote neon, expressement pour ne pas repeter le rose #EC2C86 de La Crystal livre la veille). Orchidee profonde #6B2B62 en pied de page. Papier #FBFAF8, sauge pale #E9EDE5 sur la bande cartes-cadeaux, sauge d'encre #64735F pour les etiquettes (4,88:1). Aucun noir	Marcellus 400 + Jost 300-500, vingt-deuxieme appairage, plus IBM Plex Mono 400 sur les seules etiquettes. Les trois en base64. PIEGE: Plex Mono avait d'abord ete sous-ensemblee via &text= aux chiffres et crochets, alors qu'elle sert a du texte, donc elle retombait sur Arial en silence. Detecte par probe.js, pas a l'oeil	BENTO PLEIN ECRAN, forme neuve. Quatre tuiles bord a bord sur calc(100svh - 67px), gap 1px qui laisse voir le fond ligne, zero marge de page. Texte sur 2 colonnes a gauche sur toute la hauteur, grande photo en haut a droite, petite photo et tuile lotus en bas. Repond a sa demande de plein ecran SANS reprendre la photo pleine largeur d'Elite Beauty Lab ni le bloc centre sur champ plein de StonerInkkk, tous deux dans les cinq derniers builds	monospace entre crochets [ 01 ], pris dans le banc libre. Justifie par le monde: une planche d'herbier porte un numero de specimen	le lotus, pris dans LEUR PROPRE logo (la pastille grise du lockup), redessine a la main en SVG cinq petales. Trois emplois exactement, verifies par comptage: tuile du heros sur champ sauge, separateur entre les avis et la section visite, separateur du pied de page	2px sur les boutons et les champs, 5px sur les tuiles et les cartes. Aucune pilule, aucune ombre sur toute la page	vapeur qui monte (effet NEUF: trois volutes en radial-gradient qui remontent en 11 a 16 s dans la seule tuile lotus, zone isolee pour ne pas se battre avec les photos), deck de soins epingle a defilement HORIZONTAL pilote par le scroll vertical (largeur de carte passee en clamp(320px,30vw,560px) parce qu'a 1920 les quatre cartes tenaient a l'ecran et l'effet ne se declenchait jamais), revelation clip-path sur les quatre photos
2026-08-14	Barbier Gatineau inc. (Gatineau, 170 avenue Gatineau, barbier). 67 cles i18n. AUCUN site: le prospect n'a qu'une page de reservation Setmore (karimstylist.setmore.com), tout vient du __NEXT_DATA__ de cette page. Aucun logo, aucune galerie, aucun reseau social. Reference image fournie par lui (planche SharpCuts): structure reprise, palette ecartee	francais, bascule EN. Site Setmore anglophone par defaut mais 7 avis sur 10 en francais, Gatineau, marche francophone	aucun fichier de logo a echantillonner (le logoUrl de Setmore est une PHOTO de l'interieur en 320x320), donc palette assumee et signalee comme le seul point a confirmer. Graphite #221F1C dominant, #191715 en pied de page, surface #2C2825. Champ clair pierre #E7E2D9 sur 2 sections sur 6, pris du plancher de bois gris de leur vraie photo. Cuivre #D98B4A sur fond sombre (6,07:1) et #8F4E19 sur fond clair (4,98:1), premier build en cuivre. Aucun noir	Darker Grotesque 500-800 + Lora 400-600 plus son italique, vingt-troisieme appairage, les six fichiers (latin + latin-ext) en base64. Darker Grotesque jamais servie. PIEGE EVITE: pas de sous-ensemble &text=, la police sert du texte reel	deux colonnes 100svh, texte a gauche + carte photo portrait a droite qui monte jusqu'au bas de la bande, bande de legende sombre en pied de photo. Forme prise dans le banc libre ET imposee par la mesure: la meilleure source disponible fait 960px, le seuil d'un heros pleine largeur est 1600px. C'est aussi la forme de sa planche de reference	numeral pivote a 90 degres dans la marge gauche (writing-mode vertical-rl), avec le glyphe helice dessous. Traitement neuf du banc libre	l'helice du poteau de barbier, dessinee a la main en SVG et servie en data URI. Trois emplois exactement, verifies par comptage apres avoir retire deux emplois en trop: fond du heros a .10, glyphe des etiquettes de section, separateur du pied de page	3px sur les boutons, les champs et les photos, 4px sur les cartes. Aucune pilule. Aucune ombre sur toute la page	revelation clip-path sur les photos, marquee de galerie clone par JS en 3 copies (keyframe a -33,3333% et non -50%, sinon saut a chaque boucle), titre assemble caractere par caractere avec re-decoupage a chaque bascule de langue. Planche a 3 bandes envoyee avant le build, bande 3 boutique matieriste choisie. Montants et note formates par JS selon la langue (40 $ / $40, 4,99 / 4.99) plutot que par 6 cles i18n de plus
2026-08-17	Ottawa Ink Inc. (Ottawa, chemin de Montreal, secteur Vanier, salon de tatouage et percage). 68 cles i18n. Site source Square Online rendu entierement en JS, zero texte dans le HTML brut: tout recupere par le panneau navigateur. Leur page /gallery porte 77 vraies photos dont AUCUNE ne s'affiche (les <img> ont un src vide, le lazy-load ne se declenche jamais), recuperees dans le JSON de la page. Planche a 3 bandes envoyee (atelier suisse / signaletique industrielle / technique monospace), les TROIS rejetees, il a fourni la reference Tristero (B1 du catalogue) a la place	anglais, bascule FR. Site anglais seul, marche d'Ottawa. La bascule se justifie par l'adresse: chemin de Montreal est dans Vanier, un des secteurs les plus francophones de la ville	aucune couleur dans le logo (script noir pur), mais le vert est vraiment a eux: #39FF14 dans leur CSS et #14640A a l'echantillonnage de leurs bannieres. Le #39FF14 etant inutilisable en aplat, retenu vert #5BD22E sur sombre et #1E7A26 sur clair. Trois champs sombres teintes en alternance, encre #151813 dominante, surface #1E221C, profond #0F1310 en pied de page. Aucun noir. La reference Tristero est en noir et blanc pur: palette ECARTEE, seuls ses dispositifs sont repris	Vollkorn 600 + son italique 500 + Cabin 400/500, vingt-quatrieme appairage, les quatre en base64, aucun sous-ensemble &text= (le piege Plex Mono de Spa Energie-Forme). Vollkorn jamais servie, choisie pour ses capitales espacees qui lisent gravees	MUR DE VIGNETTES PLEIN ECRAN, forme neuve. Dix de leurs vrais tatouages en grille 5x2 bord a bord sur calc(100svh - 66px), en niveaux de gris, voile radial a .55 (le plafond exactement), lockup centre par-dessus. C'est la reponse a la contrainte des actifs: aucune source paysage 1600px n'existe (le maximum est un bandeau 1565x408) et toute la galerie est en carre 1000x1000, donc une photo pleine largeur etait impossible sans etirer. La mosaique promeut le dispositif dominant de la reference au rang de heros et n'affiche jamais une tuile au-dela de sa source (400px pour 384px maximum a 1920)	capitales espacees CENTREES flanquees de deux filets courts de 34px, plus le glyphe de repere. Traitement neuf. Le kicker en italique de la reference a ete ECARTE de cette place: sa regle dit que rien ne precede le titre du heros, et qu'un seul groupe en serif italique existe par page. L'italique sert donc une seule fois, sur le mot Ottawa dans le h1, ce qui satisfait aussi la regle du nom de ville detache en italique dans la couleur de marque	le repere de stencil, la croix de reperage qui sert a poser un pochoir sur la peau. Dessine a la main en SVG et servi en data URI. Trois emplois exactement: fond du heros a .13, glyphe des cinq etiquettes de section, separateur du pied de page. Le groupement d'aiguilles de StonerInkkk est ECARTE pour ne pas repeter le meme metier a quatre jours d'intervalle	0 partout, une seule declaration border-radius dans tout le fichier. Aucune ombre sur toute la page	quatre effets sur quatre zones, il les a coches tous les quatre: revelation clip-path sur les six photos de section, curseur en repere de stencil (lerp .17, le vrai pointeur n'est JAMAIS masque), marquee de galerie clonee par JS en 3 copies (keyframe a -33,3333%), et FILET DE GRILLE QUI SE TRACE (effet neuf: les separations 1px de la bande de piliers se dessinent en scaleY au defilement, et basculent en scaleX sous 860px). Photos en gris qui reviennent en couleur au survol, ce qui garde la discipline monochrome de la reference sans jeter leur travail en couleur. AVANT/APRES DEMANDE MAIS NON CONSTRUIT: aucune vraie paire dans leurs 77 photos
